product_id;sku;category_id
3909;CJNX3282426;211
3909;CJNX3282426;211
3924;ELZX3282555;211
3924;ELZX3282555;233
3924;ELZX3282555;8609
3924;ELZX3282555;8610
3924;ELZX3282555;211
3924;ELZX3282555;233
3924;ELZX3282555;8609
3924;ELZX3282555;8610
3924;ELZX3282555;211
3924;ELZX3282555;233
3924;ELZX3282555;8609
3924;ELZX3282555;8610
3924;ELZX3282555;211
3924;ELZX3282555;233
3924;ELZX3282555;8609
3924;ELZX3282555;8610
3925;ELCX3282556;211
3925;ELCX3282556;211
3927;ELCX3282558;211
3927;ELCX3282558;233
3927;ELCX3282558;8609
3927;ELCX3282558;8611
3927;ELCX3282558;8980
3927;ELCX3282558;211
3927;ELCX3282558;233
3927;ELCX3282558;8609
3927;ELCX3282558;8611
3927;ELCX3282558;8980
3927;ELCX3282558;211
3927;ELCX3282558;233
3927;ELCX3282558;8609
3927;ELCX3282558;8611
3927;ELCX3282558;8980
3927;ELCX3282558;211
3927;ELCX3282558;233
3927;ELCX3282558;8609
3927;ELCX3282558;8611
3927;ELCX3282558;8980
3928;ELCX3282559;211
3928;ELCX3282559;211
3929;ELZX3282560;211
3930;ELCX3282561;211
3930;ELCX3282561;233
3930;ELCX3282561;2240
3930;ELCX3282561;2387
3930;ELCX3282561;2388
3930;ELCX3282561;8609
3930;ELCX3282561;8612
3930;ELCX3282561;211
3930;ELCX3282561;233
3930;ELCX3282561;2240
3930;ELCX3282561;2387
3930;ELCX3282561;2388
3930;ELCX3282561;8609
3930;ELCX3282561;8612
3930;ELCX3282561;211
3930;ELCX3282561;233
3930;ELCX3282561;2240
3930;ELCX3282561;2387
3930;ELCX3282561;2388
3930;ELCX3282561;8609
3930;ELCX3282561;8612
3930;ELCX3282561;211
3930;ELCX3282561;233
3930;ELCX3282561;2240
3930;ELCX3282561;2387
3930;ELCX3282561;2388
3930;ELCX3282561;8609
3930;ELCX3282561;8612
3931;ELCX3282562;211
3931;ELCX3282562;233
3931;ELCX3282562;2240
3931;ELCX3282562;2387
