Year,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
2013,"2,800",309,259,256,294,218,142,128,137,176,230,374,279
2014,"3,875",421,355,381,387,292,222,211,157,231,355,457,407
2015,"4,778",501,406,472,435,409,262,227,246,279,515,533,492
2016,"4,695",523,486,405,335,315,302,272,203,328,392,496,638
